date,articleNo,title,type,deposit,rent,area_m2,floor,address,realtor,postedYmd,updatedYmd,link
"20250810","2539257547","도시형생활주택","원룸","1억","20","12.85","7/12","","대방디엠시티공인중개사사무소","","","https://m.land.naver.com/article/info/2539257547"
"20250810","2541216342","일반원룸","원룸","500","38","17.69","5/5","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2541216342"
"20250810","2541060583","일반원룸","원룸","500","60","20","2/2","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2541060583"
"20250810","2541205890","일반원룸","원룸","2,000","30","14.87","5/9","","삼성공인중개사사무소","","","https://m.land.naver.com/article/info/2541205890"
"20250810","2541190350","기타","원룸","500","35","20","B1/3","","다모아부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2541190350"
"20250810","2541191108","기타","원룸","500","30","15","B1/3","","다모아부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2541191108"
"20250810","2541015631","일반원룸","원룸","5,500","8","12.39","8/9","","감동공인중개사사무소","","","https://m.land.naver.com/article/info/2541015631"
"20250810","2541232826","일반원룸","원룸","500","30","33.05","B1/3","","열린공인중개사사무소","","","https://m.land.naver.com/article/info/2541232826"
"20250810","2540711735","일반원룸","원룸","500","65","16.64","3/3","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2540711735"
"20250810","2541048906","일반원룸","원룸","2,000","40","19.83","7/12","","삼성공인중개사사무소","","","https://m.land.naver.com/article/info/2541048906"
"20250810","2540706608","일반원룸","원룸","500","53","17.4","3/5","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2540706608"
"20250810","2538731339","오피스텔","원룸","8,700","7","18.14","2/9","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2538731339"
"20250810","2539025735","오피스텔","원룸","1억 500","15","20.19","5/13","","코끼리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2539025735"
"20250810","2538730720","일반원룸","원룸","1,000","60","26","9/10","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2538730720"
"20250810","2540752907","도시형생활주택","원룸","3,000","40","13.98","중/12","","삼성공인중개사사무소","","","https://m.land.naver.com/article/info/2540752907"
"20250810","2540649830","일반원룸","원룸","500","40","14.87","3/10","","감동공인중개사사무소","","","https://m.land.naver.com/article/info/2540649830"
"20250810","2540649120","일반원룸","원룸","500","36","13.22","6/10","","감동공인중개사사무소","","","https://m.land.naver.com/article/info/2540649120"
"20250810","2540792143","도시형생활주택","원룸","3,000","40","13.98","중/12","","삼성공인중개사사무소","","","https://m.land.naver.com/article/info/2540792143"
"20250810","2540758910","일반원룸","원룸","1,000","45","24.48","중/11","","삼성공인중개사사무소","","","https://m.land.naver.com/article/info/2540758910"
"20250810","2540580152","일반원룸","원룸","2,000","55","12.13","2/14","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540580152"
"20250810","2540517441","일반원룸","원룸","1,000","55","23.1","1/5","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540517441"
"20250810","2540418278","일반원룸","원룸","5,000","35","20.1","2/9","","감동공인중개사사무소","","","https://m.land.naver.com/article/info/2540418278"
"20250810","2538808894","도시형생활주택","원룸","8,200","30","19.9","13/13","","히트공인중개사사무소","","","https://m.land.naver.com/article/info/2538808894"
"20250810","2538698551","일반원룸","원룸","4,000","50","17.27","2/12","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2538698551"
"20250810","2538876795","원룸형 아파트","원룸","700","50","12.6","10/15","","히트공인중개사사무소","","","https://m.land.naver.com/article/info/2538876795"
"20250810","2540432086","일반원룸","원룸","500","43","22.5","5/5","","THE로드공인중개사사무소","","","https://m.land.naver.com/article/info/2540432086"
"20250810","2540617465","일반원룸","원룸","4,000","45","18","2/3","","이도공인중개사","","","https://m.land.naver.com/article/info/2540617465"
"20250810","2540435436","일반원룸","원룸","4,000","45","18","2/3","","다모아부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540435436"
"20250810","2540614454","일반원룸","원룸","1,000","55","20","3/6","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2540614454"
"20250810","2538306760","일반원룸","원룸","500","40","16","B1/3","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2538306760"
"20250810","2538608474","일반원룸","원룸","1,000","35","19.84","2/5","","엄마와딸공인중개사사무소","","","https://m.land.naver.com/article/info/2538608474"
"20250810","2539796263","일반원룸","원룸","5,000","35","12.13","중/14","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2539796263"
"20250810","2540367365","일반원룸","원룸","500","55","13.22","B1/3","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2540367365"
"20250810","2538055261","일반원룸","원룸","2,000","45","12.04","8/14","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2538055261"
"20250810","2540201944","오피스텔","원룸","1억 2,500","15","26.85","1/7","","우리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540201944"
"20250810","2538055115","일반원룸","원룸","3,000","40","12.04","8/14","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2538055115"
"20250810","2540403482","일반원룸","원룸","1,000","50","20.5","3/6","","더리치공인중개사사무소","","","https://m.land.naver.com/article/info/2540403482"
"20250810","2537914287","도시형생활주택","원룸","6,000","12","14.91","중/13","","좋은하루공인중개사사무소","","","https://m.land.naver.com/article/info/2537914287"
"20250810","2538153081","일반원룸","원룸","500","53","15.86","3/5","","히트공인중개사사무소","","","https://m.land.naver.com/article/info/2538153081"
"20250810","2537913682","도시형생활주택","원룸","8,200","29","19.9","13/13","","좋은하루공인중개사사무소","","","https://m.land.naver.com/article/info/2537913682"
"20250810","2539966762","기타","원룸","300","20","10","2/2","","원탑공인중개사사무소","","","https://m.land.naver.com/article/info/2539966762"
"20250810","2539968803","일반원룸","원룸","1,000","45","18","5/8","","골드공인중개사","","","https://m.land.naver.com/article/info/2539968803"
"20250810","2540157691","일반원룸","원룸","1,000","50","23.14","고/10","","삼성공인중개사사무소","","","https://m.land.naver.com/article/info/2540157691"
"20250810","2539810231","일반원룸","원룸","500","38","12.3","3/5","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2539810231"
"20250810","2540029727","일반원룸","원룸","1,000","60","18.33","1/5","","다모아부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540029727"
"20250810","2539994622","일반원룸","원룸","1,000","50","23.14","8/10","","삼성공인중개사사무소","","","https://m.land.naver.com/article/info/2539994622"
"20250810","2539716956","일반원룸","원룸","500","53","19.84","3/5","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2539716956"
"20250810","2539609178","일반원룸","원룸","500","55","16.4","4/6","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2539609178"
"20250810","2539403589","일반원룸","원룸","500","60","23","4/8","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2539403589"
"20250810","2539406489","일반원룸","원룸","500","55","16.25","4/6","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2539406489"
"20250810","2539636461","일반원룸","원룸","500","60","42.67","5/9","","이룬공인중개사사무소","","","https://m.land.naver.com/article/info/2539636461"
"20250810","2539752284","일반원룸","원룸","500","35","19.84","4/6","","더리치공인중개사사무소","","","https://m.land.naver.com/article/info/2539752284"
